U;ТП;Sтр-р;Тип;Nтр
6;4483;630;ТМГ;Т-2 
6;4484;630;ТМГ;Т-1 
6;4484;630;ТМГ;Т-2 
6;4485;400;ТМГ;Т-1 
6;4485;400;ТМГ;Т-2  
6;4486;250;ТМГ;Т 
6;4487;630;ТМГ;Т-1 
6;4487;630;ТМГ;Т-2 
6;4488;630;ТМГ;Т-1 
6;4488;630;ТМГ;Т-2 
6;4489;630;ТМГ;Т-1 
6;4489;630;ТМГ;Т-2 
6;4490;250;ТМГ;Т-1 
6;4490;180;ТМГ;Т-2 
6;4491;180;ТМГ;Т
6;4492;400;ТМГ;Т
6;4493;630;ТМГ;Т 
6;4494;400;ТМГ;Т-1 
6;4494;400;ТМГ;Т-2  
6;4495;320;ТМГ;Т-1 
6;4495;250;ТМГ;Т-2  
6;4496;630;ТМГ;Т-1 
6;4496;400;ТМГ;Т-2  
6;4497;400;ТМГ;Т-1 
6;4497;400;ТМГ;Т-2  
6;4498;400;ТМГ;Т
6;4499;250;ТМГ;Т
6;4500;400;ТМГ;Т-1 
6;4500;400;ТМГ;Т-2  
6;4501;400;ТМГ;Т-1 
6;4501;400;ТМГ;Т-2  
6;4502;400;ТМГ;Т
6;4503;400;ТМГ;Т-1 
6;4503;400;ТМГ;Т-2  
6;505;630;ТМ;Т-1 
6;4506;630;ТМГ;Т-1 
6;4506;630;ТМГ;Т-2 
6;4508;160;ТМГ;Т
6;4509;320;ТМГ;Т
6;4512;400;ТМГ;Т
6;4514;400;ТМГ;Т
6;4515;630;ТМГ;Т-1 
6;4515;630;ТМГ;Т-2 
6;4516;400;ТМГ;Т
6;4519;320;ТМГ;Т
6;520;160;ТМ;Т
6;521;400;ТМ;Т
6;523;250;ТМ;Т
6;4524;400;ТМГ;Т
6;525;630;ТМГ;Т-1 
6;525;630;ТМГ;Т-2 
6;4526;160;ТМГ;Т 
6;4528;630;ТМГ;Т
6;531;400;ТМГ;Т
6;532;180;ТМГ;Т
6;4533;250;ТМГ;Т
6;4535;1000;ТМГ;Т-1 
6;4535;1000;ТМГ;Т-2 
6;537;400;ТМГ;Т
6;538;100;ТМГ;Т 
6;540;250;ТМГ;Т 
6;4541;630;ТМГ;Т-1  
6;4541;630;ТМГ;Т-2 
6;542;63;ТМГ;Т
6;4543;630;ТМГ;Т
6;546;250;ТМГ;Т
6;547;100;ТМГ;Т
6;549;400;ТМГ;Т
6;550;250;ТМГ;Т
6;551;100;ТМ;Т
6;553;400;ТМГ;Т-1
6;553;400;ТМГ;Т-2
6;554;100;ТМГ;Т
6;555;400;ТМГ;Т
6;556;400;ТМГ;Т
6;557;250;ТМ;Т
6;558;100;ТМГ;Т
6;559;400;ТМГ;Т
6;561;100;ТМГ;Т
6;4562;160;ТМГ;Т
6;4563;400;ТМГ;Т
6;4564;250;ТМГ;Т
6;4565;250;ТМГ;Т
6;566;400;ТМГ;Т
6;4567;160;ТМГ;Т
6;4568;400;ТМГ;Т
6;4569;400;ТМГ;Т
6;570;160;ТМГ;Т
6;4571;1250;ТМГ;Т-1  
6;4571;1250;ТМГ;Т-2  
6;572;250;ТМГ;Т
6;4573;250;ТМГ;Т
6;574;250;ТМГ;Т
6;575;400;ТМГ11;Т-1
6;575;400;ТМГ11;Т-2
6;4576;400;ТМГ;Т
6;4577;250;ТМГ;Т
6;578;630;ТМГ;Т
6;4579;100;ТМГ;Т
6;580;630;ТМГ;Т-1  
6;580;630;ТМГ;Т-2 
6;581;630;ТМГ;Т  
6;4582;63;ТМГ;Т  
6;4583;250;ТМГ;Т  
6;4584;250;ТМГ;Т  
6;4585;400;ТМГ;Т-1  
6;4585;400;ТМГ;Т-2  
6;4586;400;ТМГ;Т-1  
6;4586;400;ТМГ;Т-2  
6;4587;400;ТМГ;Т  
6;4588;250;ТМГ;Т  
6;4600;100;ТМГ;Т  
6;4602;160;ТМГ;Т  
6;4604;160;ТМГ-11;Т  
6;4605;40;ТМГ;Т  
6;4606;160;ТМГ;Т  
6;4608;100;ТМГ;Т  
6;4609;100;ТМГ;Т  
6;4610;250;ТМГ;Т  
6;4611;63;ТМГ;Т  
6;4612;63;ТМГ;Т  
6;4613;400;ТМГ;Т
6;4616;16;ТМГ;Т  
6;4772;400;ТМ;Т
6;РП-5;320;ТМ;Т-1  
6;РП-5;320;ТМ;Т-2  
6;РП-10;1000;ТМГ;Т-1 
6;РП-10;1000;ТМГ;Т-2 
6;РП-13;400;ТМГ;Т-1  
6;РП-13;400;ТМГ;Т-2  
6;РП-33;400;ТМ;Т-1 
6;РП-33;400;ТМ;Т-2 
6;РП-40;630;ТМ;Т-1  
6;РП-40;630;ТМ;Т-2  
6;РП-41;630;ТМ;Т-1  
6;РП-41;630;ТМ;Т-2  
6;РП-60;1000;ТМГ;Т-1  
6;РП-60;1000;ТМГ;Т-2  
6;РП-67;1000;ТМГ;Т-1  
6;РП-67;1000;ТМГ;Т-2  
6;РП-103;1000;ТМГ;Т-1     
6;РП-103;1000;ТМГ;Т-2  
